campaign_id,year,committee_type,committee,committee_number,candidate,kind,n_donors,dollars_itemized,candidate_sov,contest,votes,elected,slate_side,slate_side_two_poles,slate_groups
2025|cand|Matthew Benjamin,2025,Official Candidate Committee,Matt Benjamin for Council,2025-OCC-005,Matthew Benjamin,candidate,128.0,11900.0,Matt Benjamin,council,20276,TRUE,B,B,better_boulder;boulder_progressives;boulder_weekly;daily_camera;open_boulder;sierra_club_indian_peaks;stop_antisemitism_colorado
2025|cand|Maxwell Lord,2025,Official Candidate Committee,Max Lord for Boulder,2025-OCC-013,Maxwell Lord,candidate,58.0,1516.15,Maxwell Lord,council,2853,FALSE,B,,boulder_area_labor_council;yellow_scene
2025|cand|Nicole Speer,2025,Official Candidate Committee,Together with Nicole Speer,2025-OCC-008,Nicole Speer,candidate,157.0,11894.0,Nicole Speer,council,16165,TRUE,B,B,better_boulder;boulder_area_labor_council;boulder_progressives;boulder_weekly;co_black_women_action;co_blueflower_fund;colorado_working_families_party;cwa_colorado_wyoming;daily_camera;lgbtq_victory_fund;new_era_colorado_action_fund;sierra_club_indian_peaks;stop_antisemitism_colorado;yellow_scene
2025|cand|Rachel Isaacson,2025,Official Candidate Committee,Rachel Rose for Boulder,2025-OCC-007,Rachel Isaacson,candidate,34.0,1782.98,Rachel Rose Isaacson,council,5085,FALSE,B,,boulder_area_labor_council;new_era_colorado_action_fund
2025|cand|Robert Kaplan,2025,Official Candidate Committee,Rob for Boulder,2025-OCC-011,Robert Kaplan,candidate,132.0,11894.0,Rob Kaplan,council,15867,TRUE,A,A,open_boulder;plan_boulder_county;stop_antisemitism_colorado
2025|cand|Robert Smoke,2025,Official Candidate Committee,Smoke for Council,2025-OCC-015,Robert Smoke,candidate,28.0,1981.0,Rob Smoke,council,1499,FALSE,,,
2025|issue|Committee for Boulder Power,2025,Ballot Measure Committee,Committee for Boulder Power,2025-BMC-003,,issue,1.0,100.0,,,,,,,
2025|issue|Infrastructure and Housing Ballot Measure Committee,2025,Ballot Measure Committee,Infrastructure and Housing Ballot Measure Committee,2025-BMC-004,,issue,7.0,795.1800000000001,,,,,,,
2025|issue|Keep West Pearl Open,2025,Ballot Measure Committee,Keep West Pearl Open,2025-BMC-002,,issue,21.0,8668.0,,,,,,,
2025|issue|Pearl For You,2025,Ballot Measure Committee,Pearl For You,2025-BMC-001,,issue,21.0,3600.0,,,,,,,
