year,area_code,area_name,prim_state,occ_code,occ_title,occ_group,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_median,a_median,h_pct10,h_pct25,h_pct75,h_pct90,a_pct10,a_pct25,a_pct75,a_pct90,jobs_1000,loc_quotient,annual,hourly
2013,14500,"Boulder, CO",CO,25-2012,"Kindergarten Teachers, Except Special Education",detailed,210,6.7,*,50900,2,*,50520,*,*,*,*,34270,40030,60160,70540,1.266,1.06,TRUE,
2013,14500,"Boulder, CO",CO,25-2021,"Elementary School Teachers, Except Special Education",detailed,1930,2.3,*,55350,2.6,*,55010,*,*,*,*,36400,44570,66140,74690,11.819,1.17,TRUE,
2013,14500,"Boulder, CO",CO,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,860,0.1,*,54420,2.4,*,53760,*,*,*,*,36340,43260,65390,74000,5.278,1.13,TRUE,
2013,14500,"Boulder, CO",CO,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,1190,4.7,*,56550,3.3,*,56570,*,*,*,*,37640,45370,68020,75150,7.279,1.02,TRUE,
2013,14500,"Boulder, CO",CO,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,190,0,*,58050,1.6,*,57880,*,*,*,*,36590,44630,70980,82650,1.19,0.8,TRUE,
2013,14500,"Boulder, CO",CO,25-2054,"Special Education Teachers, Secondary School",detailed,140,0,*,60940,1.8,*,61550,*,*,*,*,41300,50360,72100,82800,0.871,0.87,TRUE,
2013,14500,"Boulder, CO",CO,25-3021,Self-Enrichment Education Teachers,detailed,410,25.9,*,*,*,*,*,*,*,*,*,*,*,*,*,2.486,1.76,,
2013,14500,"Boulder, CO",CO,25-3099,"Teachers and Instructors, All Other, Except Substitute Teachers",detailed,240,8,*,43740,6.4,*,34460,*,*,*,*,22560,27510,51950,75700,1.488,0.73,TRUE,
2013,14500,"Boulder, CO",CO,25-4012,Curators,detailed,50,4.8,16.55,34430,10.3,13.63,28340,12.03,12.63,14.62,28.68,25020,26270,30420,59660,0.308,3.74,,
2013,14500,"Boulder, CO",CO,25-4021,Librarians,detailed,180,4.8,35.84,74560,6.9,33.03,68700,23.68,26.79,44.91,54.59,49250,55710,93410,113550,1.091,1.06,,
2013,14500,"Boulder, CO",CO,25-4031,Library Technicians,detailed,210,9.4,17.93,37300,2.8,17.33,36040,12.14,14.46,21.66,25.85,25250,30070,45060,53770,1.273,1.76,,
2013,14500,"Boulder, CO",CO,25-9031,Instructional Coordinators,detailed,160,13.2,*,*,*,*,*,*,*,*,*,*,*,*,*,0.969,0.96,,
2013,14500,"Boulder, CO",CO,25-9041,Teacher Assistants,detailed,1210,14.7,*,31440,3.7,*,31240,*,*,*,*,22030,25940,36760,42260,7.441,0.83,TRUE,
2013,14500,"Boulder, CO",CO,25-9099,"Education, Training, and Library Workers, All Other",detailed,**,**,26.01,54100,2.7,24.07,50060,19.11,20.84,27.96,40.52,39750,43350,58150,84280,**,**,,
