countyfips,year,age,totalpopulation
13,2005,8,3288
13,2005,9,3355
13,2005,10,3424
13,2005,11,3367
13,2005,12,3678
13,2005,13,3649
13,2005,14,3662
13,2005,15,3637
13,2005,16,3657
13,2005,17,3490
13,2005,18,5014
13,2005,19,7039
13,2005,20,7080
13,2005,21,6636
13,2005,22,5658
13,2005,23,4004
13,2005,24,3081
13,2005,25,2812
13,2005,26,2874
13,2005,27,3937
13,2005,28,4682
13,2005,29,4973
13,2005,30,5601
13,2005,31,4872
13,2005,32,4220
13,2005,33,4207
13,2005,34,4242
13,2005,35,4537
13,2005,36,3942
13,2005,37,3775
13,2005,38,3818
13,2005,39,3793
13,2005,40,4315
13,2005,41,4466
13,2005,42,4595
13,2005,43,4550
13,2005,44,4689
13,2005,45,4908
13,2005,46,4708
13,2005,47,4814
13,2005,48,4732
13,2005,49,4589
13,2005,50,4691
