year,district_code,district_name,county,countyfips,unit_type,teacher_fte,teacher_fte_basis,teacher_fte_published,teacher_fte_school_sum,schools,schools_basis,schools_published,schools_open,enrollment,enrollment_panel,enrollment_ccd,pop_5_17,pop_0_4,datatype
2014,2010,CREEDE SCHOOL DISTRICT,Mineral,079,district,12.3801,school_sum,,12.3801,2.0,school_panel,,2.0,77.0,77.0,77.0,62.0,29.0,Estimate
2015,2010,CREEDE SCHOOL DISTRICT,Mineral,079,district,10.92,school_sum,,10.92,1.0,school_panel,,1.0,84.0,84.0,84.0,70.0,27.0,Estimate
2016,2010,CREEDE SCHOOL DISTRICT,Mineral,079,district,11.0,published,11.0,11.0,1.0,school_panel,,1.0,81.0,81.0,81.0,80.0,29.0,Estimate
2017,2010,,Mineral,079,,,,,,1.0,school_panel,,1.0,80.0,80.0,80.0,62.0,25.0,Estimate
2018,2010,CREEDE SCHOOL DISTRICT,Mineral,079,district,14.56,published,14.56,13.56,1.0,school_panel,,1.0,95.0,95.0,95.0,77.0,33.0,Estimate
2019,2010,Creede School District,Mineral,079,district,13.1,school_sum,,13.1,1.0,school_panel,,1.0,81.0,81.0,81.0,75.0,34.0,Estimate
2020,2010,,Mineral,079,,,,,,1.0,school_panel,,1.0,81.0,81.0,81.0,82.0,42.0,Estimate
2021,2010,,Mineral,079,,,,,,1.0,school_panel,,1.0,78.0,78.0,78.0,95.0,43.0,Estimate
2022,2010,Creede School District,Mineral,079,district,13.1,published,13.1,13.1,1.0,school_panel,,1.0,86.0,86.0,86.0,101.0,41.0,Estimate
2023,2010,Creede School District,Mineral,079,district,13.3,published,13.3,13.3,1.0,school_panel,,1.0,95.0,95.0,95.0,109.0,37.0,Estimate
2024,2010,Creede School District,Mineral,079,district,15.4,published,15.4,15.4,1.0,school_panel,,1.0,92.0,92.0,92.0,115.0,37.0,Estimate
1990,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,142.4,published,142.4,,9.0,school_panel,9.0,9.0,2656.0,,2656.0,2699.0,992.0,Estimate
1991,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,145.3,published,145.3,,8.0,school_panel,8.0,8.0,2675.0,,2675.0,2692.0,972.0,Estimate
1992,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,145.0,published,145.0,,8.0,school_panel,8.0,8.0,2762.0,,2762.0,2726.0,969.0,Estimate
1993,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,146.8,published,146.8,,8.0,school_panel,8.0,8.0,2764.0,,2764.0,2723.0,955.0,Estimate
1994,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,146.4,published,146.4,,8.0,school_panel,8.0,8.0,2847.0,,2847.0,2741.0,949.0,Estimate
1995,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,150.4,published,150.4,,8.0,school_panel,8.0,8.0,2815.0,,2815.0,2762.0,942.0,Estimate
1996,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,148.8,published,148.8,,9.0,school_panel,9.0,9.0,2830.0,,2830.0,2758.0,924.0,Estimate
1997,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,147.9,published,147.9,,9.0,school_panel,8.0,9.0,2832.0,,2832.0,2796.0,921.0,Estimate
1998,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,156.7,published,156.7,,9.0,school_panel,9.0,9.0,2697.0,,2697.0,2823.0,915.0,Estimate
1999,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,,,,,9.0,school_panel,9.0,9.0,2631.0,,2631.0,2841.0,905.0,Estimate
2000,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,150.1411,school_sum,,150.1411,9.0,school_panel,,9.0,,,2575.0,2846.0,890.0,Estimate
2001,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,145.9387,school_sum,,145.9387,9.0,school_panel,,9.0,2114.0,2114.0,2544.0,2777.0,868.0,Estimate
2002,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,149.48,school_sum,,149.48,9.0,school_panel,,9.0,2173.0,2173.0,2582.0,2738.0,906.0,Estimate
2003,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,146.8077,school_sum,,146.8077,9.0,school_panel,,9.0,2507.0,2507.0,2507.0,2687.0,922.0,Estimate
2004,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,145.9655,school_sum,,145.9655,9.0,school_panel,,9.0,2402.0,2402.0,2402.0,2618.0,933.0,Estimate
2005,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,148.2921,school_sum,,148.2921,9.0,school_panel,,9.0,2400.0,2400.0,2400.0,2548.0,932.0,Estimate
2006,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,141.2391,school_sum,,141.2391,9.0,school_panel,,9.0,2395.0,2395.0,2395.0,2554.0,959.0,Estimate
2007,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,142.2099,school_sum,,142.2099,8.0,school_panel,,8.0,2414.0,2414.0,2414.0,2579.0,974.0,Estimate
2008,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,140.2254,school_sum,,140.2254,8.0,school_panel,,8.0,2386.0,2386.0,2386.0,2581.0,996.0,Estimate
2009,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,144.7793,school_sum,,144.7793,8.0,school_panel,,8.0,2536.0,2536.0,2536.0,2596.0,1020.0,Estimate
2010,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,145.882,published,145.882,145.882,8.0,school_panel,,8.0,2402.0,2402.0,2402.0,2656.0,1072.0,Estimate
2011,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,131.32,school_sum,,131.32,8.0,school_panel,,8.0,2299.0,2299.0,2299.0,2602.0,1002.0,Estimate
2012,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,133.82,school_sum,,133.82,8.0,school_panel,,8.0,2280.0,2280.0,2280.0,2579.0,925.0,Estimate
2013,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,137.08,school_sum,,137.08,8.0,school_panel,,8.0,2241.0,2241.0,2241.0,2599.0,906.0,Estimate
2014,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,133.7465,school_sum,,133.7465,8.0,school_panel,,8.0,2175.0,2175.0,2175.0,2573.0,876.0,Estimate
2015,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,129.53,school_sum,,129.53,8.0,school_panel,,8.0,2200.0,2200.0,2192.0,2572.0,882.0,Estimate
2016,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,130.03,published,130.03,129.61,8.0,school_panel,,8.0,2219.0,2219.0,2219.0,2597.0,904.0,Estimate
2017,2020,,Moffat,081,,,,,,8.0,school_panel,,8.0,2248.0,2248.0,2248.0,2563.0,917.0,Estimate
2018,2020,MOFFAT COUNTY RE:NO 1,Moffat,081,district,126.56,published,126.56,126.57,8.0,school_panel,,8.0,2307.0,2307.0,2307.0,2557.0,892.0,Estimate
2019,2020,Moffat County RE: No 1,Moffat,081,district,126.2,school_sum,,126.2,7.0,school_panel,,7.0,2202.0,2202.0,2202.0,2515.0,883.0,Estimate
2020,2020,,Moffat,081,,,,,,7.0,school_panel,,7.0,2068.0,2068.0,2068.0,2514.0,825.0,Estimate
2021,2020,,Moffat,081,,,,,,7.0,school_panel,,7.0,2118.0,2118.0,2090.0,2525.0,788.0,Estimate
2022,2020,Moffat County RE: No 1,Moffat,081,district,126.5,published,126.5,126.4,7.0,school_panel,,7.0,2121.0,2121.0,2092.0,2558.0,740.0,Estimate
